iter	Logloss
0	0.6741198698
1	0.653123454
2	0.638399262
3	0.6216615219
4	0.6049447817
5	0.5885649427
6	0.5748993806
7	0.560638927
8	0.5479421973
9	0.5360963524
10	0.5235430151
11	0.5123357043
12	0.503589769
13	0.4947586744
14	0.4838300962
15	0.4745008001
16	0.4671305553
17	0.4597932599
18	0.4531440997
19	0.4463103845
20	0.4403449791
21	0.4343283298
22	0.4283997065
23	0.4224642872
24	0.4172099171
25	0.412024731
26	0.407372596
27	0.4019847538
28	0.3983692501
29	0.3945614938
30	0.3901508583
31	0.3869688814
32	0.3833131815
33	0.3801939469
34	0.3765536749
35	0.3731209224
36	0.3704434599
37	0.3669707688
38	0.3643815577
39	0.3622379514
40	0.3591803317
41	0.3563328403
42	0.3540569537
43	0.3517700517
44	0.3491134603
45	0.3465191924
46	0.3441967967
47	0.3418501801
48	0.339405553
49	0.3368306424
50	0.3341496692
51	0.33214894
52	0.3296933942
53	0.3278811815
54	0.3258207377
55	0.324112333
56	0.3222494563
57	0.3203195215
58	0.3185277612
59	0.316973571
60	0.3152247769
61	0.3137356479
62	0.3123105172
63	0.3104379458
64	0.3089065592
65	0.3076372856
66	0.3061900921
67	0.3045613714
68	0.303024606
69	0.3018944733
70	0.3007062041
71	0.2996236112
72	0.2984779861
73	0.2971287388
74	0.2959397932
75	0.2950332199
76	0.2938421164
77	0.2926926263
78	0.2917738459
79	0.2906611058
80	0.2894914854
81	0.2884067344
82	0.2873843714
83	0.2861082696
84	0.2851467485
85	0.2841200373
86	0.2827812899
87	0.2815751773
88	0.2805852482
89	0.2797657667
90	0.278878132
91	0.2779030188
92	0.2770032415
93	0.2762940419
94	0.2753342923
95	0.2744942617
96	0.2737605515
97	0.2728195472
98	0.2719623173
99	0.270863137
100	0.2701556767
101	0.2694048476
102	0.2682855047
103	0.2674392579
104	0.2664207277
105	0.2658027266
106	0.2650700793
107	0.2638443678
108	0.2630346937
109	0.2621385881
110	0.2610786378
111	0.2603938523
112	0.2596962317
113	0.2589197003
114	0.2581815936
115	0.2575103196
116	0.2569001935
117	0.2564965724
118	0.2558263291
119	0.2553353745
120	0.2545464106
121	0.2538863934
122	0.2531039034
123	0.2524116134
124	0.251640348
125	0.2509776576
126	0.2502076001
127	0.2497549253
128	0.2491403867
129	0.2484094303
130	0.2475335355
131	0.2467723031
132	0.2463299029
133	0.2457460268
134	0.245134564
135	0.2445880175
136	0.2438659507
137	0.2432147748
138	0.2423074445
139	0.2418540773
140	0.241379839
141	0.2406707522
142	0.2399768356
143	0.2395060758
144	0.239045816
145	0.2385363737
146	0.2377113362
147	0.2370174841
148	0.2365714765
149	0.2360514538
150	0.2356428564
151	0.2350237119
152	0.2345346577
153	0.233951941
154	0.2335431826
155	0.2328299892
156	0.2322948124
157	0.2317298104
158	0.2312489371
159	0.2308038475
160	0.2303645071
161	0.229921189
162	0.2293456387
163	0.2289898633
164	0.2286479698
165	0.2281703335
166	0.2275628968
167	0.2271543639
168	0.2265206772
169	0.2263297612
170	0.2256103838
171	0.2250660275
172	0.2246513749
173	0.2241514503
174	0.2236364199
175	0.2231951631
176	0.222777805
177	0.222205379
178	0.2218769647
179	0.2214943596
180	0.2208537321
181	0.220353437
182	0.2198079857
183	0.2191391756
184	0.218515844
185	0.2182054827
186	0.2177912327
187	0.2173881269
188	0.2167430384
189	0.2163637509
190	0.2158427296
191	0.2156131312
192	0.2153084707
193	0.2149878026
194	0.214553213
195	0.21391608
196	0.2134762082
197	0.2131160203
198	0.212781889
199	0.2123345126
200	0.2118999069
201	0.2116184204
202	0.2111792089
203	0.210583947
204	0.2101124303
205	0.2095857404
206	0.2092479374
207	0.2089146113
208	0.2085825092
209	0.2083509621
210	0.2079203825
211	0.2076328731
212	0.2071097744
213	0.2068442473
214	0.2065373323
215	0.2060081462
216	0.2056305012
217	0.2052059445
218	0.2048161892
219	0.2045368124
220	0.204291625
221	0.2040268387
222	0.2038329595
223	0.2034157947
224	0.2031746494
225	0.2027558581
226	0.2024685097
227	0.201962546
228	0.201511997
229	0.2012041479
230	0.2007872891
231	0.2005856798
232	0.2003163521
233	0.1998583147
234	0.1996150598
235	0.199288868
236	0.1990365464
237	0.1986651499
238	0.19824164
239	0.1980897768
240	0.1976104495
241	0.1972936464
242	0.1969879231
243	0.1967576965
244	0.1965343465
245	0.196044793
246	0.1958181255
247	0.1955238685
248	0.1952479863
249	0.194880326
250	0.1946181808
251	0.1943990501
252	0.1941855559
253	0.1936560799
254	0.1933559287
255	0.1932148231
256	0.1930118128
257	0.1927293118
258	0.1924543154
259	0.1921982576
260	0.1918338021
261	0.1914029003
262	0.191168841
263	0.1910203919
264	0.1906675475
265	0.190400265
266	0.190369055
267	0.190086409
268	0.1899288127
269	0.1897433238
270	0.1894959301
271	0.1892390993
272	0.1889905462
273	0.1888100496
274	0.1885309949
275	0.1882119211
276	0.1880260135
277	0.1877555424
278	0.1875174409
279	0.1872700311
280	0.1870233138
281	0.1867398305
282	0.186369368
283	0.1860535795
284	0.185883132
285	0.1856690419
286	0.18542408
287	0.185218187
288	0.1849363141
289	0.1844649423
290	0.184241544
291	0.1840088052
292	0.1837416999
293	0.1832923104
294	0.1829656354
295	0.182625755
296	0.1824019218
297	0.1821600197
298	0.1818214276
299	0.1813579147
300	0.1810661215
301	0.1808684739
302	0.1806453655
303	0.1803954434
304	0.1801094639
305	0.1796224066
306	0.1794499299
307	0.1792707056
308	0.178871803
309	0.1785598795
310	0.1781986287
311	0.1779740064
312	0.177723102
313	0.177609116
314	0.1774204224
315	0.1772681888
316	0.1769494371
317	0.1767346707
318	0.17630393
319	0.1760531222
320	0.17588195
321	0.1755742941
322	0.1752732249
323	0.1750194539
324	0.1748637257
325	0.1747325726
326	0.1744805409
327	0.1742631817
328	0.1740729581
329	0.173783484
330	0.1736303324
331	0.1733431129
332	0.1730839953
333	0.1728416423
334	0.1725875009
335	0.1724093072
336	0.172202303
337	0.1719793878
338	0.1717285639
339	0.171537197
340	0.17141379
341	0.1709871237
342	0.1707831954
343	0.1705940991
344	0.1704281286
345	0.1701401844
346	0.1698689886
347	0.1697635218
348	0.1696490044
349	0.1694841933
350	0.1692791217
351	0.1691340867
352	0.1689276783
353	0.168668142
354	0.1684859706
355	0.1683000791
356	0.1679837753
357	0.1678136982
358	0.1674895838
359	0.167297782
360	0.1671256435
361	0.1668752706
362	0.1666535793
363	0.1664017408
364	0.1661853639
365	0.1660440007
366	0.1657336394
367	0.1655629503
368	0.1654009897
369	0.1651828253
370	0.1650037459
371	0.1648512707
372	0.1646989405
373	0.1645058504
374	0.1643156268
375	0.1640878481
376	0.1638767212
377	0.163621823
378	0.1634429207
379	0.1631033462
380	0.1629044425
381	0.1627850777
382	0.1624870039
383	0.1622002836
384	0.1620261482
385	0.1618350389
386	0.1616231873
387	0.1613377231
388	0.1611148401
389	0.1608382172
390	0.1606294255
391	0.1604647433
392	0.1602278818
393	0.1599745939
394	0.1596658108
395	0.1595386515
396	0.1593721012
397	0.1591204077
398	0.1590186932
399	0.1588259896
400	0.1586266993
401	0.1584430785
402	0.1582585559
403	0.1580519382
404	0.157937453
405	0.1577039251
406	0.1574829424
407	0.1573288085
408	0.1571244293
409	0.1569287625
410	0.1567472674
411	0.1564355372
412	0.1562939002
413	0.1561385102
414	0.1558645284
415	0.1556104353
416	0.1554499885
417	0.155261923
418	0.1550744532
419	0.1549012519
420	0.1547341057
421	0.1544893854
422	0.1541140111
423	0.1537342887
424	0.1535861617
425	0.1534271804
426	0.1531945543
427	0.152870456
428	0.1525031017
429	0.1523773435
430	0.1522389112
431	0.152067272
432	0.1518394128
433	0.1515926472
434	0.151381327
435	0.151247565
436	0.151065458
437	0.1508648794
438	0.1506830784
439	0.1505550817
440	0.1502780401
441	0.1499164833
442	0.1494230326
443	0.1492499601
444	0.1491054726
445	0.1488571127
446	0.1487394549
447	0.1485506324
448	0.1484542001
449	0.1482780195
